#,NOMBRE,SEGUIDORES,TP,PAÍS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,channel_name_x,channel_id,channel_name_y,total_subscribers,total_views,total_videos
17,BBC @UCCj956IF62FbT7Gouszaj9w,12.9M,-,Reino Unido,,3.9M,,Ver Perfil,BBC ,UCCj956IF62FbT7Gouszaj9w,BBC,15300000,12009130219,27466
18,Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,12.4M,-,संयुक्त अधिराज्य,सङ्गीत,3.7M,,प्रोफ़ाइल देखें,Awakening Music ,UCBq5hp6DvwWam2XOXw6lYJA,Awakening Music,15400000,6784278984,1130
19,DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ,12.3M,-,संयुक्त अधिराज्य,,3.7M,,प्रोफ़ाइल देखें,DisneyChannelUK ,UCLeuoGy_hUDTBf5Hk0ynrpQ,Disney Club UK,13700000,14570183768,4592
20,colinfurze @UCp68_FLety0O-n9QU6phsgw,11.9M,0.6%,संयुक्त अधिराज्य,,3.6M,,प्रोफ़ाइल देखें,colinfurze ,UCp68_FLety0O-n9QU6phsgw,colinfurze,13300000,1823516457,428
21,Mrwhosetheboss @UCMiJRAwDNSNzuYeN2uWa0pA,11.8M,1.9%,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,Mrwhosetheboss ,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,22200000,8277315400,1878
22,TommyInnit @UC5p_l5ZeB_wGjO_yDXwiqvw,11.7M,-,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,TommyInnit ,UC5p_l5ZeB_wGjO_yDXwiqvw,TommyInnit,15000000,2626002414,532
23,Morgz @UCBwSufNse8VMBvQM_rCSvgQ,11.6M,0.1%,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,Morgz ,UCBwSufNse8VMBvQM_rCSvgQ,Morgz,12600000,3612292252,906
24,Tiana @UC6sSkkemzPjmrzS0Y0V_2zw,11.4M,-,संयुक्त अधिराज्य,,3.4M,,प्रोफ़ाइल देखें,Tiana ,UC6sSkkemzPjmrzS0Y0V_2zw,Tiana,11300000,3262644636,1064
25,DisneyJuniorUK @UC7Gf2tZ8coTX2ckTPgn62iQ,11.2M,-,संयुक्त अधिराज्य,,3.4M,,प्रोफ़ाइल देखें,DisneyJuniorUK ,UC7Gf2tZ8coTX2ckTPgn62iQ,Disney Kids,14500000,23140236644,4979
26,Emily Tube @UC-0D1RlSzcvBoODCKSoLl2g,11M,-,संयुक्त अधिराज्य,,3.3M,,प्रोफ़ाइल देखें,Emily Tube ,UC-0D1RlSzcvBoODCKSoLl2g,Emily Tube,11000000,4318610005,781
